Author's description,Publication date,Author,geology,plants,Latitude,Longitude,Latitude,Longitude,Location (State),"Institution (University of New South Wales, University of Wollongong)",Age estimate,STDEV,RADIOCARBON LAB.,,TYPE OF ANALYSIS,MATERIAL ANALYSED,MATERIAL ANALYSED,DELTA13 CORRECTION (if known),PHYSICAL PRETREATMENT,CHEMICAL PRETREATMENT,POSITION,Builder,
C8 (front left),1996,Allen,,3,30 52'00',142 36'00',142.6,-30.866667,Coturaundee Ranges (NSW),UoW,-380,60,BETA-89608,,Conventional,AMBERAT,AMBERAT,,,,A,,
GH E1,1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-5710,90,BETA-89609,,Conventional,GRASS/WOOD,PLANT FRAGMENTS,,,,,,
GH E3 (I),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-6360,100,BETA-89611,,Conventional,GRASS/WOOD,PLANT FRAGMENTS,,,,,,
GH E5 (II) lower left,1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-3430,70,BETA-89612,,AMS,GRASS,GRASS,,,,B,,
GH E2,1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-5240,90,BETA-91807,,Conventional,GRASS/WOOD,PLANT FRAGMENTS,,,,,,
GH E3 (III),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-6520,50,BETA-91808,,AMS,CASUARINA CLADODES,LEAF,,,,,,
GH E3 (II),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-6470,60,BETA-91809,,AMS,SCATS,SCATS,,,,,,
GH E4,1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-5340,90,BETA-91810,,Conventional,GRASS/WOOD,PLANT FRAGMENTS,,,,,,
GH E5 (I),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-1380,60,BETA-91811,,AMS,SCATS,SCATS,,,,,,
GH3 (ii),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-1300,40,OZA312U,1,AMS,WOOD,WOOD,,,,A,,
GH3 (I),1996,Allen,,3,31 04'00,142 34'00',142.566667,-31.066667,Gap Range (NSW),UoW,-1000,70,OZA313U,1,AMS,TWIG,WOOD,-24.6,,,A,,
