trace,Identifier,Species,LAT,LONG,location,Site Description,Collector,year,month,GPS,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,121.054,-26.413,Millrose Station,Herberts Rockhole breakaways,139/2,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes1984,Leporillus apicalis,121.15,-32.866667,Peak Charles,Combined sample from three caves: large open cave on E. slope of N. spur; high open cave near top W. slope N. spur; and small sheet erosion cave on S.H. slope S. spur.,"Baynes, Hart 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,,Leporillus apicalis,121.6314,-29.5133,Yerilla Homestead,Dead tree 14.3 km WSW,133,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,121.633,-29.517000,Old tree on Yerilla Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,122.706531,-28.280593,Giles Breakaway 1,,GB1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,122.817,-30.083000,Pinjin Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes1984,Leporillus apicalis,122.917222,-32.591667,Unnamed,Small cave near top of cliff face at extreme east end of Wylie Scarp (where it swings seaward to become Baxter Cliffs).,"Baynes, Hart 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1966,Leporillus apicalis,123.398889,-32.467778,Unnamed,Very small breakaway on north shore of salt lake S. of old Telegraph line in Dundas Nature Reserve.,"Baynes, Hart 1984",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Lowry1968,Leporillus apicalis,123.839444,-32.478333,Unnamed,Sinkhole 3.3 km SW of Balladonia Station homestead. Small figure-of-eight shaped entrance. Vertical solution pipe about 7 m to small circular chamber with small southern extension.,"Thomas et al. 1971; Baynes, Hart 1984",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.36652,-26.76583,Empress Spring 1,,ES1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,124.429,-25.426,Mount Johnson south,,142/2,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,124.433,-25.433000,Mt Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.468431,-26.904491,Breaden Bluff 1,,BrB1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.479105,-29.176756,Possum Cave 5.1,,PC5.1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.481407,-29.178021,Possum Cave 3,,PC3,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.52208,-29.218396,Big Nest cave,,BN1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.578989,-29.331603,South Rock cave 1,,SR1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.592288,-29.555665,Duck Egg cave 1,,DE1,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Turpin et al.,Leporillus apicalis,124.602512,-29.087849,Bartlett Bluff 2,,BaB2,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
