Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
3540,-0.572608778212,-0.433414306641,-0.0405244615343,0.742778676351,1.20923868815,0.0134496293549
3530,-1.0207438151,-0.629305072361,-0.146786668566,0.149645928277,0.452610270182,-0.188281234173
3520,-1.18039737278,-0.687874772814,-0.141415829129,0.197413347032,0.491187032064,-0.184349298622
3510,-1.13648071289,-0.661117740207,-0.0680669148763,0.396623925103,0.992053053114,-0.0782877000459
3500,-0.935564337836,-0.689816716512,-0.141578843859,0.309857126872,0.97691921658,-0.152878524657
3490,-0.830294799805,-0.476691462199,-0.0182072957357,0.652694117228,1.10135142008,0.0138398938961
3480,-0.833538479275,-0.589457778931,-0.168392859565,0.284541634454,0.466139390734,-0.173081073088
3470,-1.13825497097,-0.379104673598,-0.0128900316026,0.711857452393,1.25079701742,0.0327196514042
3460,-1.09132775201,-0.546615320841,-0.0747392442491,0.547633404202,0.813699679905,-0.0633685875505
3450,-1.09720374213,-0.440881644355,-0.0983816358778,0.504191716512,0.769357977973,-0.0802830750591
3440,-1.00783013238,-0.760279218886,-0.184715949164,0.119675216675,0.30756954617,-0.235078950098
3430,-1.22283003065,-0.75243876987,-0.156508721246,0.136380674574,0.321122233073,-0.202415257576
3420,-0.885171339247,-0.568267974854,-0.062673441569,0.677315792508,0.940742323134,-0.00678836771566
3410,-0.508453199599,-0.321422381931,-0.00305853949653,1.17024962531,1.56270938449,0.189141633872
3400,-0.384114922418,-0.299947077433,0.102592129178,1.40918398539,1.92592027452,0.305590237184
3390,-0.485681491428,-0.277185457018,0.151072947184,1.39292135451,1.96083051893,0.298990673505
3380,-0.411914401584,-0.302967537774,0.0651893615723,1.23668022156,1.72787255181,0.246667763038
3370,-0.571589830187,-0.425633714464,0.0144781324599,1.33811536153,2.09004770915,0.191829501686
3360,-0.831056213379,-0.453226487901,-0.00459908379449,1.39822699653,1.99042290582,0.198273775168
3350,-0.571905178494,-0.377748947144,0.0490495469835,1.44714989556,2.04566311306,0.233430932449
3340,-0.447632344564,-0.379125145806,0.018795522054,0.84828543769,1.32456732856,0.154677120273
3330,-0.669849819607,-0.417148369683,0.0775118509928,0.8749537913,1.27653435601,0.181173639886
3320,-0.911377122667,-0.453978220622,0.0433533562554,0.815114245945,1.24988216824,0.072652442757
3310,-1.3928109063,-0.761905721029,-0.0234367370605,0.626441836887,0.825995890299,-0.0257026063294
3300,-1.61069725884,-1.00004145304,-0.0701720343696,0.516212387085,0.91488494873,-0.125266163039
3290,-1.65509372287,-1.04145888435,-0.0901740180122,0.49453660753,0.84085015191,-0.165499457756
3280,-1.46432410346,-0.794378272163,-0.0679811265734,0.42357266744,1.05115407308,-0.0864819645409
3270,-0.944543117947,-0.363029912313,-0.00607130262586,0.810138092041,1.16775783963,0.084057599751
3260,-0.530416361491,-0.37943043179,0.0354519314236,0.816433537801,1.47960561117,0.115460018509
3250,-0.621534898546,-0.453670569526,-0.0596540662977,0.786560838487,1.23058268229,0.0574704310597
3240,-0.900998094347,-0.496580734253,-0.0954970465766,0.661178927951,1.13276587592,-0.034309023144
3230,-0.826815456814,-0.671651153564,-0.101500532362,0.566876415677,1.00258585612,-0.047997779214
3220,-1.08670959473,-0.612291827732,-0.100922563341,0.267621061537,0.540095689562,-0.141365181221
3210,-0.868048943414,-0.7543384552,-0.10474319458,0.305369559394,0.551163058811,-0.15454517836
3200,-0.779963175456,-0.556066411336,-0.0771016438802,0.747013380263,1.01780954997,-0.0122009146583
3190,-0.69866265191,-0.444457092285,-0.0302595350477,1.41305057102,1.67380082872,0.175669665361
3180,-0.551463656955,-0.424014273749,-0.0856604682075,1.09506518894,1.56350572374,0.102375599429
3170,-0.601815456814,-0.497133458455,-0.024264272054,0.777586771647,1.35938907199,0.069814362165
3160,-0.85894402398,-0.525558598836,0.0425412495931,0.632408481174,0.998274230957,0.0726825288202
3150,-0.634626261393,-0.486362609863,0.095144059923,0.765399568346,1.27292717828,0.146416638687
3140,-0.625568813748,-0.443619639079,0.13617562188,0.854679005941,1.0224706014,0.183271474687
3130,-0.727277628581,-0.52540204366,0.119027370877,0.803552424113,1.19853888618,0.132981723862
3120,-0.722831556532,-0.39628847758,0.205657365587,0.876268319024,1.30173899333,0.221218206759
3110,-0.819823879666,-0.368918592665,0.0887085808648,0.732898212009,0.964962259928,0.118661029154
3100,-0.830174255371,-0.55356745402,0.0633708530002,0.483207287259,0.835532124837,0.0458813140083
3090,-1.19515279134,-0.683461252848,0.0147119310167,0.649126756456,0.918113538954,0.0119672713321
3080,-0.882631089952,-0.396000196669,-0.0227055867513,0.524260779487,0.721231587728,0.0088751263399
3070,-0.751755947537,-0.472138231066,-0.018307156033,0.699589945475,1.01928846571,0.0614724748174
3060,-0.839406161838,-0.571480975681,-0.0458952162001,0.533118726942,1.09654998779,-0.0372734167911
3050,-1.15397457547,-0.803630438911,-0.0486654493544,0.691936645508,1.08003540039,-0.0668844237103
3040,-1.16816524929,-0.723124838935,-0.100077395969,0.491533220079,0.641528828939,-0.107181508125
3030,-0.880681525336,-0.611294394599,-0.0209715949165,0.603765631782,0.876752387153,0.023617216229
3020,-0.748974948459,-0.426937501695,-0.0422469245063,0.66223101298,1.19248996311,0.0395021658357
3010,-0.493740675184,-0.3951773919,0.0481472439236,0.813219417996,1.47858818902,0.150234847578
3000,-0.57737036811,-0.473797743056,-0.025577460395,0.851202977498,1.19565344916,0.0696283735737
2990,-0.607100084093,-0.504687796699,-0.00491070217557,0.659890357123,1.25396830241,0.0627057272706
2980,-0.554384358724,-0.455259153578,0.0235004001194,0.799813919067,1.35748341878,0.116753162728
2970,-0.565848795573,-0.408002683851,0.0510883755154,0.714682481554,0.968087599013,0.10248026505
2960,-0.495755683051,-0.385008867052,0.0137687683105,0.906947818332,1.13751695421,0.0925965107773
2950,-0.397109476725,-0.293720228407,0.00360607571073,0.883378075494,1.04939524333,0.0946236238121
2940,-0.472314792209,-0.263375871446,0.00683322482639,0.728156094021,1.31850043403,0.107776382872
2930,-0.622868008084,-0.261177503798,0.129273562961,0.819071451823,1.39861212836,0.209422769636
2920,-0.821812438965,-0.464929597643,0.0433670891656,0.795814183553,1.49757876926,0.0815478936505
2910,-0.455893792046,-0.323066897922,-0.00798229641385,0.780365473429,1.45630018446,0.0877150258494
2900,-0.820452541775,-0.571140094333,-0.0627406650119,0.570751478407,0.884676276313,-0.0394026013898
2890,-0.651307508681,-0.431511586507,-0.035265689426,0.56642985026,0.986023966471,0.00778721161042
2880,-0.705628458659,-0.437879104614,-0.0493901570638,0.577015855577,0.877201165093,0.00856994745196
2870,-0.607268608941,-0.425197423299,-0.000576866997613,0.812653054131,1.06146189372,0.0836728512533
2860,-0.676159837511,-0.517598249647,0.0379415724013,0.856319919162,1.23536800808,0.114804733133
2850,-0.786565314399,-0.589617326525,-0.0624838087294,0.867605158488,1.38969217936,0.0454800654729
2840,-0.974629380968,-0.646822009616,0.0149542066786,0.951333372328,1.39726732042,0.102150278221
2830,-0.913801405165,-0.627284300062,-0.109197998047,0.692509808011,1.02983618842,-0.0625379935549
