Identifier,Species,LONG,LAT
SAJQ91,Leporillus sp.,139.3,-30.3
SAJQ92,Leporillus sp.,139.3,-30.3
12694,Leporillus sp.,140.2,-32.1
6603,Leporillus sp.,140.2,-32.7
12642,Leporillus sp.,140.2,-32.7
12729,Leporillus sp.,140.4,-34.2
12567,Leporillus sp.,140.8,-37.8
12710,Leporillus sp.,140.9,-32.5
12579,Leporillus sp.,141.5,-31.2
12582,Leporillus sp.,141.8,-29.1
12583,Leporillus sp.,141.9,-29.1
12584,Leporillus sp.,141.9,-29
12577,Leporillus sp.,142.3,-32.7
GAP RANGE E (GHE) LOWER RIGHT,Leporillus sp.,142.6,-31.1
GH E1,Leporillus sp.,142.6,-31.1
GH E2,Leporillus sp.,142.6,-31.1
GH E3 (I),Leporillus sp.,142.6,-31.1
GH E3 (II),Leporillus sp.,142.6,-31.1
GH E3 (III),Leporillus sp.,142.6,-31.1
GH E4,Leporillus sp.,142.6,-31.1
GH E5 (I),Leporillus sp.,142.6,-31.1
GH E5 (II) lower left,Leporillus sp.,142.6,-31.1
GH3 (I),Leporillus sp.,142.6,-31.1
GH3 (ii),Leporillus sp.,142.6,-31.1
GH4 (top),Leporillus sp.,142.6,-31.1
GH6 (base),Leporillus sp.,142.6,-31.1
GH6 (top),Leporillus sp.,142.6,-31.1
ARK1,Leporillus sp.,142.6,-30.1
ARK1,Leporillus sp.,142.6,-30.1
HH1 base,Leporillus sp.,142.6,-30.1
HH1 top,Leporillus sp.,142.6,-30.1
NWCK 1,Leporillus sp.,142.6,-30.1
NWCK 2,Leporillus sp.,142.6,-30.1
OT1,Leporillus sp.,142.6,-30.1
OT1,Leporillus sp.,142.6,-30.1
RC 1,Leporillus sp.,142.6,-30.1
RC 2,Leporillus sp.,142.6,-30.1
RC3 base,Leporillus sp.,142.6,-30.1
WF,Leporillus sp.,142.6,-30.1
GH1 (base),Leporillus sp.,142.6,-31.2
GH1 (top),Leporillus sp.,142.6,-31.2
GH2,Leporillus sp.,142.6,-31.2
GH4 (base),Leporillus sp.,142.6,-31.2
GH5 (I),Leporillus sp.,142.6,-31.2
GH5 (II),Leporillus sp.,142.6,-31.2
GH8 (front),Leporillus sp.,142.6,-31.2
Green et al (1983),Leporillus sp.,142.6,-31.2
RC3 top,Leporillus sp.,142.6,-31.2
C7,Leporillus sp.,142.6,-30.9
C8 (front left),Leporillus sp.,142.6,-30.9
12578,Leporillus sp.,142.7,-31.1
